,day,china,confirm,death,die,health,hospit,infect,lockdown,mask,outbreak,pandem,patient,posit,record,report,spread,studi,test,vaccin,china_ks,confirm_ks,death_ks,die_ks,health_ks,hospit_ks,infect_ks,lockdown_ks,mask_ks,outbreak_ks,pandem_ks,patient_ks,posit_ks,record_ks,report_ks,spread_ks,studi_ks,test_ks,vaccin_ks
35,36,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6482476119847576,0.4646609107121358,0.06815332733010226,0.2301110581420396,0.5595847237672236,-0.11056376573637294,-0.017479739393001292,0.0,0.0,0.0,0.0,0.08584494235219743,0.511220580186067,0.7199286685383681,1.0205837173580914,0.15853593940354704,0.27462965905669545,0.1533273301904119,0.0
36,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9125977717744044,0.4637604392888126,0.09462012465337644,0.19594964422533145,0.6609424934231036,-0.04195137454328268,-0.009915779437487782,0.0,0.0,-0.014301604957900447,0.0,0.07484506594629793,0.4661546338965552,0.5475466567791352,0.9625651076151992,0.14018750993165452,0.2036089482139518,0.1541430513621065,0.0
37,38,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1.2278969578192669,0.4615675265285493,0.13307908257867052,0.2390133658214033,0.7441743030172985,0.06995427017686495,0.0016243798224031547,0.0,0.0,-0.01951021417092913,0.0,0.06159224535196861,0.4708759291630651,0.39416988894195537,0.7638857990361352,0.11340289916492452,0.17787312181104298,0.16425305012633107,0.0
38,39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1.5966347087592814,0.4408884651376086,0.19019368963754868,0.3575577802500121,0.8029026961171404,0.1813478821265804,0.015731765453688484,0.0,0.0,-0.017479739392959104,0.0,0.046753888800607976,0.5118879884175715,0.2653601002879089,0.6473506718224069,0.0877941981390693,0.1954941116232849,0.18625280293802704,0.0
39,40,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.9418683899217744,0.4092589649875539,0.2596606458675388,0.5136995250454603,0.8559245722761428,0.3254480286738817,0.03114571746384759,0.0,0.0,-0.009915779437461136,0.0,0.031145717463848314,0.5643589879407749,0.16890372018278832,0.6366862651623393,0.0861627557957032,0.2566202305912517,0.22377597683493028,0.0
40,41,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.291819835089708,0.387997245616873,0.3079082578526662,0.6679061390964574,0.8985680738737399,0.4866076946165888,0.046753888800602265,0.0,0.0,0.001624379822399158,0.0,0.0014301604958097958,0.6441195684800558,0.08941504670133149,0.6814132104457045,0.09264968130385663,0.3126825220263112,0.2814944294364912,0.0
41,42,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.603340572417565,0.3746561435104083,0.37809205996080697,0.8720447763828947,0.8994862015996503,0.6511079329767133,0.06159224535198871,0.0,0.0,0.015731765453672497,0.0,-0.017885834348628116,0.716114907216058,0.05128096474023991,0.7862386778958417,0.10473365467799756,0.3779825908858168,0.2889277327542157,0.0
42,43,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.890100111234986,0.3684199374966744,0.4642053781097353,1.1059448770238958,0.8363507954163811,0.7928562600420308,0.07484506594629957,0.0,0.0,0.031145717463846256,0.0,-0.02739551883044466,0.8237971643978415,0.012663100093536885,0.9481116584563196,0.1332309267792544,0.4269011423627692,0.28927732754210306,0.0
43,44,17,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,3.1330402387131637,0.3558027437893929,0.536476155163558,1.3281918180693566,0.7889012483005581,0.9110828610274506,0.08584494235215456,0.0,0.0,0.046753888800605686,0.0,-0.027395518830438004,0.9378392217101812,0.02134293836195056,1.1153203736072488,0.17569433409253546,0.4711443049596471,0.2834330914419736,0.0
44,45,4,2,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3.29467662482125,0.3626463266062534,0.6043116690502899,1.524770026661017,0.7489061920652511,1.0193936825752878,0.09407277927856184,0.0,0.0,0.06159224535199138,0.0,-0.017885834348551292,1.015873015873078,0.07438247082292371,1.3167364090612084,0.20211169376905905,0.5077458198704425,0.2728781538570164,0.0
